serial_num,facility_name,group,type,rates
,,,,
1,OFCT,AGSCF,FD,1500
1,OFCT,STUD,M,300
1,OFCT,NSTUD,M,600
1,OFCT,STUD,Q,800
1,OFCT,NSTUD,Q,1800
1,OFCT,STUD,Y,3000
1,OFCT,NSTUD,Y,7000
1,OFCT,STUD,OR,60
1,OFCT,NSTUD,OR,110
1,OFCT,STUD,MEM,10
1,OFCT,NSTUD,MEM,10
1,HT,AGSCF,FD,7000
1,HT,OVNR,FD,8000
1,HT,PSEV,FD,12000
1,HT,STUD,M,300
1,HT,NSTUD,M,600
1,HT,STUD,Q,800
1,HT,NSTUD,Q,1800
1,HT,STUD,Y,3000
1,HT,NSTUD,Y,7000
1,HT,STUD,OR,60
1,HT,NSTUD,OR,110
1,HT,STUD,MEM,10
1,HT,NSTUD,MEM,10
1,A1,GAID,HD,1500
1,A1,GAID,FD,2500
1,A1,PSEV,FD,7000
1,A1,PSEV,HD,4000
1,CN,GAID,FD,3500
1,CN,GAID,HD,2000
1,CN,PSEV,FD,7000
1,CN,PSEV,HD,4000
1,S1,HP,HP,70
1,S1,STUD,M,300
1,S1,NSTUD,M,600
1,S1,STUD,Q,800
1,S1,NSTUD,Q,1800
1,S1,STUD,Y,300
1,S1,NSTUD,Y,7000
1,S1,STUD,OR,60
1,S1,NSTUD,OR,110
1,S1,STUD,MEM,10
1,S1,NSTUD,MEM,10
1,S2,STUD,M,1000
1,S2,NSTUD,M,1500
1,S3,STUD,M,2000
2,A1,GAID,FD,2500
2,A1,GAID,HD,2500
2,A1,PSEV,FD,8000
2,A1,PSEV,HD,5000
2,A1,CA,FD,10000
2,A1,CB,FD,50000
2,A1,CC,FD,120000
2,A1,CD,FD,200000
2,CN,GAID,FD,3500
2,CN,GAID,HD,2000
2,CN,PSEV,FD,7000
2,CN,PSEV,HD,4000
2,CN,CA,FD,10000
2,CN,CB,FD,50000
2,CN,CC,FD,120000
2,CN,CD,FD,200000
2,FT1,GAID,FD,5000
2,FT1,GAID,HD,3500
2,FT1,PSEV,FD,8000
2,FT1,PSEV,HD,5000
2,FT1,CA,FD,10000
2,FT1,CB,FD,50000
2,FT1,CC,FD,120000
2,FT1,CD,FD,200000
2,GY,STUD,M,200
2,GY,NSTUD,M,400
2,GY,STUD,Q,500
2,GY,NSTUD,Q,1200
2,GY,STUD,Y,1800
2,GY,NSTUD,Y,4500
2,GY,CA,FD,10000
2,GY,CB,FD,50000
2,GY,CC,FD,120000
2,GY,CD,FD,200000
3,AA,AGSCF,FD,20000
3,AA,CA,FD,20000
3,AA,CB,FD,120000
3,AA,CC,FD,200000
3,AA,CD,FD,300000
4,AA,CA,FD,20000
4,AA,CB,FD,120000
4,AA,CC,FD,200000
4,AA,CD,FD,100000
5,INBD,STUD,M,300
5,INBD,NSTUD,M,600
5,INBD,STUD,Q,800
5,INBD,NSTUD,Q,1800
5,INBD,STUD,Y,3000
5,INBD,NSTUD,Y,7000
5,INBD,STUD,OR,60
5,INBD,NSTUD,OR,110
5,INBD,STUD,MEM,10
5,INBD,NSTUD,MEM,10
5,INBD,CA,FD,20000
5,INBD,CB,FD,120000
5,INBD,CC,FD,200000
5,INBD,CD,FD,75000
5,INTT,STUD,M,200
5,INTT,NSTUD,M,400
5,INTT,STUD,Q,500
5,INTT,NSTUD,Q,1200
5,INTT,STUD,Y,1800
5,INTT,NSTUD,Y,4500
5,INTT,STUD,OR,60
5,INTT,NSTUD,OR,110
5,INTT,STUD,MEM,10
5,INTT,NSTUD,MEM,10
5,INTT,CA,FD,20000
5,INTT,CB,FD,120000
5,INTT,CC,FD,200000
5,INTT,CD,FD,75000
5,INWT,STUD,M,200
5,INWT,NSTUD,M,400
5,INWT,STUD,Q,500
5,INWT,NSTUD,Q,1200
5,INWT,STUD,Y,1800
5,INWT,NSTUD,Y,4500
5,INWT,STUD,OR,60
5,INWT,NSTUD,OR,110
5,INWT,STUD,MEM,10
5,INWT,NSTUD,MEM,10
5,INWT,CA,FD,20000
5,INWT,CB,FD,120000
5,INWT,CC,FD,200000
5,INWT,CD,FD,75000
5,OO,CA,FD,7500
5,OO,CB,FD,25000
5,OO,CC,FD,50000
5,OO,CD,FD,150000
5,FT2,CA,FD,7500
5,FT2,CB,FD,25000
5,FT2,CC,FD,50000
5,FT2,CD,FD,150000
5,S1,HP,HP,20
5,S1,STUD,M,300
5,S1,NSTUD,M,600
5,S1,STUD,Q,800
5,S1,NSTUD,Q,1800
5,S1,STUD,Y,3000
5,S1,NSTUD,Y,7000
5,S1,STUD,OR,60
5,S1,NSTUD,OR,110
5,S1,STUD,MEM,10
5,S1,NSTUD,MEM,10
5,S2,STUD,M,1000
5,S2,NSTUD,M,1500
5,S3,NSTUD,M,2000
6,BD,STUD,M,300
6,BD,NSTUD,M,600
6,BD,STUD,Q,800
6,BD,NSTUD,Q,1800
6,BD,STUD,Y,3000
6,BD,NSTUD,Y,7000
6,BD,STUD,OR,60
6,BD,NSTUD,OR,110
6,BD,STUD,MEM,10
6,BD,NSTUD,MEM,10
6,BD,CA,FD,10000
6,BD,CB,FD,25000
6,BD,CC,FD,60000
6,BD,CD,FD,100000
6,HB,STUD,M,300
6,HB,STUD,Q,800
6,HB,STUD,Y,3000
7,BD,STUD,M,300
7,BD,NSTUD,M,600
7,BD,STUD,Q,800
7,BD,NSTUD,Q,1800
7,BD,STUD,Y,3000
7,BD,NSTUD,Y,7000
7,BD,STUD,OR,60
7,BD,NSTUD,OR,110
7,BD,STUD,MEM,10
7,BD,NSTUD,MEM,10
7,BD,CA,FD,10000
7,BD,CB,FD,20000
7,BD,CC,FD,50000
7,BD,CD,FD,75000
7,TK,STUD,M,300
7,TK,STUD,Q,800
7,TK,STUD,Y,3000
7,TK,CA,FD,10000
7,TK,CB,FD,20000
7,TK,CC,FD,50000
7,TK,CD,FD,75000
7,GT,STUD,M,200
7,GT,NSTUD,M,400
7,GT,STUD,Q,500
7,GT,NSTUD,Q,1200
7,GT,STUD,Y,1800
7,GT,NSTUD,Y,4500
7,GT,STUD,OR,60
7,GT,NSTUD,OR,110
7,GT,STUD,MEM,10
7,GT,NSTUD,MEM,10
7,GT,CA,FD,10000
7,GT,CB,FD,20000
7,GT,CC,FD,50000
7,GT,CD,FD,75000
7,TT,STUD,M,200
7,TT,NSTUD,M,400
7,TT,STUD,Q,500
7,TT,NSTUD,Q,1200
7,TT,STUD,Y,1800
7,TT,NSTUD,Y,4500
7,TT,STUD,OR,60
7,TT,NSTUD,OR,110
7,TT,STUD,MEM,10
7,TT,NSTUD,MEM,10
7,TT,CA,FD,10000
7,TT,CB,FD,20000
7,TT,CC,FD,50000
7,TT,CD,FD,75000
7,CH,STUD,M,300
7,CH,STUD,Q,800
7,CH,STUD,Y,3000
7,CH,CA,FD,10000
7,CH,CB,FD,20000
7,CH,CC,FD,50000
7,CH,CD,FD,75000
8,BD,STUD,M,300
8,BD,NSTUD,M,600
8,BD,STUD,Q,800
8,BD,NSTUD,Q,1800
8,BD,STUD,Y,3000
8,BD,NSTUD,Y,7000
8,BD,STUD,OR,60
8,BD,NSTUD,OR,110
8,BD,STUD,MEM,10
8,BD,NSTUD,MEM,10
8,BD,CA,FD,10000
8,BD,CB,FD,20000
8,BD,CC,FD,50000
8,BD,CD,FD,75000
8,TK,STUD,M,300
8,TK,STUD,Q,800
8,TK,STUD,Y,3000
8,TK,CA,FD,10000
8,TK,CB,FD,20000
8,TK,CC,FD,50000
8,TK,CD,FD,75000
8,JD,STUD,M,200
8,JD,NSTUD,M,400
8,JD,STUD,Q,500
8,JD,NSTUD,Q,1200
8,JD,STUD,Y,1800
8,JD,NSTUD,Y,4500
8,JD,STUD,OR,60
8,JD,NSTUD,OR,110
8,JD,STUD,MEM,10
8,JD,NSTUD,MEM,10
8,JD,CA,FD,10000
8,JD,CB,FD,20000
8,JD,CC,FD,50000
8,JD,CD,FD,75000
8,TT,STUD,M,200
8,TT,NSTUD,M,400
8,TT,STUD,Q,500
8,TT,NSTUD,Q,1200
8,TT,STUD,Y,1800
8,TT,NSTUD,Y,4500
8,TT,STUD,OR,60
8,TT,NSTUD,OR,110
8,TT,STUD,MEM,10
8,TT,NSTUD,MEM,10
8,TT,CA,FD,10000
8,TT,CB,FD,20000
8,TT,CC,FD,50000
8,TT,CD,FD,75000
8,AC,STUD,M,200
8,AC,STUD,Q,500
8,AC,STUD,Y,1800
8,AC,CA,FD,10000
8,AC,CB,FD,20000
8,AC,CC,FD,50000
8,AC,CD,FD,75000
8,CT,STUD,M,200
8,CT,STUD,Q,500
8,CT,STUD,Y,1800
8,CT,CA,FD,10000
8,CT,CB,FD,20000
8,CT,CC,FD,50000
8,CT,CD,FD,75000
8,A2,STUD,M,200
8,A2,STUD,Q,500
8,A2,STUD,Y,1800
8,A2,CA,FD,10000
8,A2,CB,FD,20000
8,A2,CC,FD,50000
8,A2,CD,FD,750000
9,S1,HP,HP,70
9,S1,STUD,M,300
9,S1,NSTUD,M,600
9,S1,STUD,Q,800
9,S1,NSTUD,Q,1800
9,S1,STUD,Y,3000
9,S1,NSTUD,Y,7000
9,S1,STUD,OR,60
9,S1,NSTUD,OR,110
9,S1,STUD,MEM,10
9,S1,NSTUD,MEM,10
9,S2,STUD,M,1000
9,S2,NSTUD,M,1500
10,AA,EDINST,FD,5000
10,AA,AGSCF,FD,3000
11,GY,EDINST,FD,5000
11,GY,STUD,M,200
11,GY,NSTUD,M,400
11,GY,STUD,Q,500
11,GY,NSTUD,Q,1200
11,GY,STUD,Y,1800
11,GY,NSTUD,Y,4500
11,GY,CA,FD,7500
11,GY,CB,FD,25000
11,GY,CC,FD,60000
11,GY,CD,FD,100000
12,AA,EDINST,FD,2000
12,AA,AGSCF,FD,2000
12,AA,OVNR,FD,7000
12,AA,PSEV,FD,7000
12,AA,OVNR,FD,4000
12,AA,PSEV,FD,4000
15,AA,CA,FD,10000
15,AA,CB,FD,20000
15,AA,CC,FD,50000
15,AA,CD,FD,75000
16,AA,CA,FD,10000
16,AA,CB,FD,150000
16,AA,CC,FD,425000
16,AA,CD,FD,850000
16,AA,STUD,M,300
17,CT,STUD,Q,800
17,CT,STUD,Y,3000
17,CT,CA,FD,7500
17,CT,CB,FD,25000
17,CT,CC,FD,50000
17,CT,CD,FD,150000
17,A2,STUD,M,200
17,A2,STUD,Q,500
17,A2,STUD,Y,1800
17,A2,CA,FD,7500
17,A2,CB,FD,25000
17,A2,CC,FD,50000
17,A2,CD,FD,150000
17,BX,STUD,M,200
17,BX,STUD,Q,500
17,BX,STUD,Y,1800
17,BX,CA,FD,7500
17,BX,CB,FD,25000
17,BX,CC,FD,50000
17,BX,CD,FD,150000
17,RS,STUD,M,200
17,RS,STUD,Q,500
17,RS,STUD,Y,1800
17,RS,CA,FD,7500
17,RS,CB,FD,25000
17,RS,CC,FD,50000
17,RS,CD,FD,150000
